# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
323	0	54458
324	0	54376
325	0	54376
326	0	54327
327	0	54387
328	0	54305
329	0	54283
330	0	54258
331	0	54325
332	0	54318
333	0	54233
334	0	54101
335	0	54090
336	0	53986
337	0	53952
338	0	54003
339	0	54122
340	0	54091
341	0	54087
342	0	54128
343	0	54093
344	0	54131
345	0	53977
346	0	53998
347	0	54130
348	0	54169
349	0	54154
350	0	54332
351	0	54482
352	0	54579
353	0	54613
354	0	54712
355	0	54699
356	0	54753
357	0	54802
358	0	54781
359	0	54683
360	0	54736
361	0	54843
362	0	54870
363	0	54792
364	0	54706
365	0	54670
366	0	54755
367	0	54774
368	0	54749
369	0	54784
370	0	54885
371	0	54930
372	0	54931
373	0	54947
374	0	54879
375	0	54827
376	0	54686
377	0	54765
378	0	54732
379	0	54679
380	0	54653
381	0	54663
382	0	54571
383	0	54557
384	0	54511
385	0	54542
386	0	54499
387	0	54452
388	0	54380
389	0	54401
390	0	54379
391	0	54417
392	0	54387
393	0	54382
394	0	54432
395	0	54402
396	0	54394
397	0	54442
398	0	54357
399	0	54376
400	0	54323
401	0	54324
402	0	54360
403	0	54422
404	0	54437
405	0	54458
406	0	54433
407	0	54394
408	0	54453
409	0	54454
410	0	54367
411	0	54192
412	0	54249
413	0	54244
414	0	54332
415	0	54257
416	0	54231
417	0	54221
418	0	54306
419	0	54243
420	0	54220
421	0	54316
422	0	54170
423	0	54289
424	0	54392
425	0	54407
426	0	54477
427	0	54537
428	0	54566
429	0	54520
430	0	54549
431	0	54618
432	0	54643
433	0	54628
434	0	54633
435	0	54659
436	0	54687
437	19	54629
438	25	54712
439	29	54704
440	57	54752
441	63	54717
442	82	54677
443	123	54602
444	174	54581
445	203	54625
446	263	54606
447	356	54737
448	458	54719
449	593	54637
450	730	54572
451	938	54535
452	1168	54462
453	1366	54384
454	1722	54394
455	1994	54257
456	2360	54309
457	2741	54230
458	3113	54216
459	3480	54299
460	3864	54294
461	4306	54441
462	4689	54498
463	5107	54391
464	5517	54419
465	5911	54353
466	6234	54253
467	6571	54184
468	6837	54010
469	7061	54068
470	7268	54027
471	7332	54080
472	7469	54093
473	7405	54214
474	7431	54182
475	7402	54240
476	7471	54253
477	7477	54252
478	7535	54220
479	7462	54336
480	7479	54258
481	7461	54298
482	7367	54362
483	7496	54400
484	7477	54365
485	7492	54317
486	7413	54258
487	7274	54205
488	7263	54230
489	7125	54288
490	7002	54414
491	6812	54458
492	6602	54465
493	6401	54354
494	6122	54331
495	5876	54267
496	5606	54278
497	5226	54418
498	4910	54416
499	4614	54503
500	4251	54600
501	4011	54567
502	3667	54613
503	3359	54654
504	3065	54666
505	2778	54605
506	2421	54634
507	2164	54629
508	1919	54697
509	1663	54797
510	1419	54834
511	1234	54888
512	1030	54855
513	852	54869
514	718	54904
515	588	54953
516	503	54951
517	427	54963
518	370	55036
519	295	55022
